shift,Jeff,Sami,Perry,Tony,Jason
0,0.7467782900927407,0.8996133129868495,0.7447161159873339,0.8065073802574901,0.7372150138987836
1,0.7521247333991624,0.9041218533279052,0.7388589667508803,0.8037819370993375,0.7327833989022905
2,0.7593374723361941,0.9078347694559739,0.732807213828625,0.804327477518746,0.7284818482962265
3,0.7592013522261591,0.910582343157238,0.7236637649497919,0.8033638277869297,0.7222837057633702
4,0.7584248601664136,0.9103601140443524,0.7143292132611165,0.7998720181709694,0.7164636291019983
5,0.7567776398749149,0.9092621304297536,0.7026797512343272,0.7980005870352904,0.7161510891621854
6,0.7604745608133059,0.9058805097225511,0.6932481574887097,0.7942523228366942,0.7113555060934251
7,0.7626836015406755,0.9022841376095962,0.685277241526023,0.7939303209521856,0.7089531487680494
8,0.7616205710167896,0.8978856736905068,0.67358886987941,0.7930563854358303,0.7056425842840999
9,0.7581218866822801,0.8911642732791849,0.662277435578606,0.7894084274087406,0.7022963634691419
10,0.7552063182833365,0.8825559099301815,0.6505478357884938,0.7863858992926138,0.7089296478952549
11,0.7564715949189912,0.8751651748119645,0.6445418148024871,0.7825858135059146,0.7082157866247253
12,0.7584257563268046,0.8665006119902274,0.6398683668250721,0.7811049073008176,0.7094056787712468
13,0.7547820321266048,0.8569813642965152,0.6341160254182974,0.7787785068932531,0.7102166882243448
14,0.7538748745303322,0.8478359611705769,0.629375369628194,0.7758229357059836,0.7077786115719694
15,0.7495389478627219,0.8365224646597123,0.6213459590380539,0.7709473625373523,0.7108198046997134
16,0.7497213704813366,0.8284232037166565,0.617034258033919,0.7664958273794069,0.7126623238720501
17,0.7510608780793135,0.8197629212625999,0.6142191273945973,0.7648170470323417,0.7117403539362863
18,0.7514801768895927,0.8111743770934109,0.6051684673722325,0.7634937858793381,0.7117997231603616
19,0.7472025726899095,0.8048663665424147,0.6019455362647694,0.7624221377793287,0.7091685008884456
20,0.7463626344679442,0.7959531810491156,0.5946126963246943,0.7589847770903599,0.7071479806881826
21,0.7433994548715281,0.7912890593754955,0.5897145374888275,0.7571505142486448,0.7047594692873425
22,0.7411191243849137,0.7855689567146977,0.5854244904367494,0.7569350561621243,0.7064251767651344
23,0.7401275502067488,0.7781835877532577,0.5769709386153363,0.7557226147822111,0.7024863405607142
24,0.7383192088484453,0.7757353259126174,0.5744518102963527,0.7566014864645503,0.7006104393712491
25,0.7350105416770716,0.7655553087068716,0.5666258653890559,0.7529309855342661,0.6986979597986192
26,0.7297392105656062,0.7610894269412087,0.5631450689069543,0.7512235961077514,0.6979381484789211
27,0.7288767172778039,0.7591750618873221,0.5588972089201116,0.7510583208667512,0.6996452229258581
28,0.7266178584243972,0.7536806307655306,0.5518273808271088,0.7495464879283221,0.6972948351507069
29,0.7241491361943114,0.7479959864349356,0.5475838380474041,0.7509904084277464,0.6989916793520159
30,0.7209999756009069,0.7408749698399472,0.5409579577242376,0.7473763451532648,0.6981650782894492
