shift,Jeff,Han,Sami,Perry,Tony
0,0.6575367920387569,0.7372150138987836,0.7488918302259451,0.5912576186084612,0.8865897159342038
1,0.6554977431985574,0.737681708653547,0.7498596388720242,0.5942661556548379,0.8914310090667277
2,0.6551747472164191,0.7400762226027158,0.7520800886181107,0.5961955160867864,0.8971520438401928
3,0.657413766815003,0.7395313530901136,0.7517639823262012,0.5935681031353375,0.9033531898241431
4,0.652791637088055,0.7402368872128684,0.7499491036434979,0.5953464631747472,0.9086372987551067
5,0.6518116597440867,0.7372507673806068,0.750676065067284,0.5899079675422287,0.9150754695903194
6,0.649245803486524,0.7334396418216564,0.7490428960854187,0.5934802851788616,0.9174169976142017
7,0.6479346246187774,0.7344338981568959,0.7509369900742484,0.595350882087375,0.9204837711129832
8,0.6510350468289889,0.7319460720399678,0.7535423840442692,0.5932489990635319,0.9227764383275895
9,0.649286447373751,0.7327826166237197,0.7521013826793549,0.5913338272307203,0.9241593045056511
10,0.646912598072237,0.734607727388593,0.7529894406906081,0.58906455727083,0.9246184130235054
11,0.6502576403616666,0.7306128854697501,0.7546984536562661,0.5958545900372128,0.9218557293515393
12,0.6502345741706059,0.7338793280428142,0.7569043244739633,0.5980513576820723,0.9200972706576596
13,0.6561639676918016,0.734262686240807,0.760324261345272,0.5972957737811784,0.9147170526906794
14,0.656060685435019,0.7367400970060067,0.7591079891793782,0.5987887087859065,0.9085365010948543
15,0.6527455039630359,0.7391077340440033,0.758974299294811,0.5943295124108615,0.902947025883269
16,0.6578946196664901,0.7407168979258386,0.7608568479463307,0.5995149909705626,0.8950149445413953
17,0.6553318377888834,0.7465133442375446,0.7633786259174333,0.60600264208325,0.8899471755271445
18,0.6614037955078012,0.7477340563617039,0.7637971819075855,0.6058348373555555,0.8832518583555083
19,0.6624691140589973,0.750427481372929,0.7629211421962152,0.611156075345597,0.8761363466166672
20,0.6573897711382837,0.7543330264861166,0.7629085856054909,0.6065520888586884,0.8697312391123038
21,0.6644062284268295,0.7529122329649649,0.7650336348978013,0.6098847561804327,0.8617882196640783
22,0.6634716413140247,0.7585866679066128,0.7675302988331675,0.6101703920338009,0.8575038680036473
23,0.6700491227055857,0.7585456690304626,0.7678149753794296,0.6086473677677438,0.8517945159176649
24,0.675374920070986,0.7614904548424284,0.7670173177894017,0.6127604058029121,0.8472408052336423
25,0.6739350002145306,0.7664557180579956,0.7684562326284807,0.6109410350947845,0.840251744795453
26,0.6808163503218803,0.7656518339525542,0.768110965295716,0.6131338578369132,0.833314549337485
27,0.6805134097163832,0.772120680680577,0.771039652093167,0.6155797680342722,0.8319718838320478
28,0.6856729084840907,0.7714730097320717,0.7728267038488817,0.6123354821048567,0.8255009690541404
29,0.6928243843529726,0.7763290192061097,0.771792213935565,0.6143453666400553,0.821514041067753
30,0.6920048016716059,0.7774905324777404,0.7734811148853089,0.6114343509600135,0.8148140327457265
