shift,Jeff,Han,Perry,Tony,Jason
0,0.7613420078623117,0.8996133129868495,0.7199862078360814,0.8186419481548013,0.7488918302259451
1,0.7636841611583556,0.891470406679439,0.7145575083420997,0.8128347314325529,0.744184461896086
2,0.7667023587530395,0.8885771689041945,0.7058221720550265,0.8115864839438947,0.7428450761244901
3,0.7681917367889812,0.8808827580159853,0.6982416436757932,0.8100583310311391,0.7373034796779265
4,0.7652644231385121,0.8734948343482198,0.6892716670384809,0.8036190141668177,0.7341990891575968
5,0.7629503021550994,0.8682752432497014,0.6781539536704877,0.8005610675575123,0.7355320932396083
6,0.76414943984844,0.8586900890428724,0.6743702750595277,0.7958150360413914,0.7333303138700884
7,0.7651863324847235,0.8554004947101079,0.6645169637935837,0.7949177926088986,0.7345441241583521
8,0.7629891421220805,0.8494021508829419,0.6592482531831418,0.7944896853946122,0.7313902458312045
9,0.7643678367352473,0.8408272889031289,0.6526605608467884,0.7931795429525021,0.7283041919902647
10,0.760281967708071,0.838322541475814,0.6445317837738991,0.790790513890087,0.7291049439433472
11,0.7630837827097834,0.8278309889808344,0.6427970441613927,0.7888225981030276,0.7279027781039015
12,0.7632218908631547,0.8259130843804936,0.6366547203770289,0.7888275121705257,0.7269149961373276
13,0.7631518879454768,0.8185931854495161,0.6308059625472415,0.7881933761910223,0.7256368499740826
14,0.7615427133843069,0.8085269793907611,0.6260573008079882,0.7861647600266721,0.7224938190564845
15,0.7563385218585392,0.8055122798099095,0.6175415410052241,0.7830444545571057,0.720951253138554
16,0.7587414890371431,0.7954302583300561,0.613219857311178,0.7807584056928618,0.7197589557181701
17,0.7556627551371564,0.7935831861524518,0.6083941197955949,0.7807725611575324,0.7190517725465764
18,0.7556481799075087,0.7880139395687864,0.602787797387185,0.7788846381126096,0.7182954193722353
19,0.7577959983202993,0.7784358868942202,0.5977303764170725,0.7772101989169571,0.7126515169599806
20,0.7537940824512497,0.7740056477991184,0.5882442410615432,0.7715621920501475,0.7108723759711331
21,0.7541392396497493,0.7644451065153133,0.5861103581356801,0.7701213606953168,0.7096092913139187
22,0.7545555312704104,0.7613605559844492,0.5762865743766206,0.7700436733959586,0.7092775185883744
23,0.7533419162091919,0.754929529878746,0.5709010578863585,0.7685841095132244,0.7070316393811458
24,0.7544245878740137,0.745872371693483,0.5640636647992943,0.7680338546517747,0.7067891289646965
25,0.7523931267717026,0.7433829500591065,0.5565788929026017,0.7638175710537212,0.7061706719594885
26,0.7522707664785053,0.7311216162084884,0.5525885206238732,0.7629144656470237,0.7034585871503519
27,0.7514290615168564,0.7292910509619313,0.5442533301138566,0.7632616204434869,0.7043891163398537
28,0.7473055689549031,0.7241856811625285,0.5397898644689733,0.7628229251759051,0.7040520876535263
29,0.7445427278468031,0.7139104460527252,0.5356018541184944,0.7635901776233416,0.7010802521658315
30,0.7423263047464257,0.7127214734617553,0.5279995159703091,0.7605634563984278,0.7012060073907713
