shift,Jeff,Han,Sami,Perry,Jason
0,0.7068385154789919,0.8065073802574901,0.8186419481548013,0.6433661920369749,0.8865897159342038
1,0.7085111544261069,0.8039163108910492,0.8199718017045732,0.6480193356344358,0.879132506994007
2,0.7088206852616865,0.8048805174758431,0.8205101212648238,0.6528242623114545,0.8692739760320969
3,0.7128910154189702,0.8043109243872517,0.8231371899506009,0.649882516228338,0.8606246379671945
4,0.7111954628179968,0.8033543345141936,0.8209057455107955,0.6505086776004279,0.8506993704811083
5,0.7078665045423576,0.8044561941673456,0.8199127109636815,0.6452600053089239,0.845670635688526
6,0.711336355251066,0.8005260912598245,0.8213942489093325,0.6465347031578967,0.8394559592978579
7,0.7102760529392536,0.8034788250130845,0.8216843336610833,0.6517354335367874,0.8325087141585057
8,0.7147516350884862,0.8029083606613205,0.8222499063508615,0.6488172705138348,0.8258213989330634
9,0.7180680009120768,0.8036824376952648,0.8214968794998504,0.650866339171777,0.8171811939620977
10,0.7138955193864229,0.8061586881845582,0.8217258242903722,0.6444620272970711,0.8139879121791913
11,0.718448342236621,0.8045894814504381,0.8237098123747331,0.6457261125330045,0.8083013374056128
12,0.7212504052249685,0.8121229516387088,0.8249036686591972,0.6506944523199314,0.803766916778055
13,0.7256407247860306,0.8127400492476411,0.8273892151537541,0.6468495776588242,0.7982286528111319
14,0.7284075789466864,0.8138680380025798,0.8264528005556714,0.6485166028285916,0.7926793694654286
15,0.7255702064758363,0.8169360038731933,0.8265943075587275,0.6437391865466933,0.7917722397023532
16,0.7306910357327796,0.8134548906397809,0.8258195492004922,0.6455753068106928,0.7872958346756638
17,0.7321017670646255,0.8197878735282274,0.8271118824742909,0.6513542181319452,0.7821814847047639
18,0.7346624459969427,0.8188521287315196,0.8262681996576349,0.6488470292815393,0.7773191580310546
19,0.7372294734263874,0.8162347397258685,0.823815378210951,0.6529710500790358,0.7703078008285724
20,0.7330976698433985,0.8184894036754138,0.8252246620842628,0.6493308846065957,0.7654606278818203
21,0.7382438057147405,0.8166075908505468,0.8256193713921569,0.6492736527502234,0.7618801329958227
22,0.7390301520617619,0.8202525992290992,0.8293835365688684,0.6511583833592985,0.7578959251866617
23,0.7403674667309394,0.8164557265443333,0.8286265850559087,0.6462150350736999,0.753616808242739
24,0.7453569887076699,0.8161837482917464,0.8279354800529646,0.6464386075478084,0.7498880726155182
25,0.7414854318789217,0.816968185520198,0.8288022022561762,0.6407957832425464,0.747557981372099
26,0.746557445208587,0.8130137910026609,0.8285196159882086,0.6390585124010406,0.7457205781787724
27,0.7484356759078463,0.8164573760463296,0.8300469527938587,0.6409938740664434,0.7449797325784286
28,0.7491952001007323,0.8135231198482884,0.8285572553788487,0.6377897964676379,0.7427360083906454
29,0.7547875264447912,0.8133294279792549,0.8283601033673091,0.6391348116699824,0.7403166662450595
30,0.7519559855263075,0.8141506128560403,0.8278561030328762,0.635047971449653,0.7402459238139021
