shift,Jeff,Han,Sami1,Sami2,Perry2,Tony1,Tony2,Mack,Jason,Ray
0,0.6660846141135011,0.8998618612319331,0.7935791423639408,0.8428877504127086,0.9265407525425655,0.738136626094291,0.6785434218518744,0.7200456209397894,0.544564115615493,0.6449113459380893
1,0.6620964733881857,0.8963931868108586,0.8038546555522161,0.849053355108955,0.9290889517368086,0.7336099728871786,0.6763621800049275,0.7187411197772974,0.5496385667933503,0.6388578624774628
2,0.6732907801597532,0.888467194526632,0.813450110099919,0.8572819142472115,0.9250167018697704,0.7326038524863974,0.6749337262701737,0.709423227214913,0.5458497979349637,0.6335814950992809
3,0.6745717391964645,0.8778314471684578,0.8194271180232326,0.8596492640120976,0.9225030403604246,0.7316278786384494,0.6759633523738799,0.7059275274199415,0.5499742273945506,0.6312215258272852
4,0.6777811017909215,0.8683614705819285,0.8231004569581839,0.8616690401169071,0.9119130567102728,0.7267247684198546,0.6705113955789794,0.7083271110857766,0.5505937723600083,0.6234353482797336
5,0.6843387016674516,0.8578543295859682,0.8293328998489133,0.862873458655562,0.903577947126866,0.7231331646571222,0.6640993511902036,0.6980893642447569,0.5384666896464031,0.6308296482350205
6,0.6767993398110669,0.847187354487099,0.8354465909265429,0.8615563689431422,0.8937780078885049,0.7182111393092045,0.65755793705747,0.702828345719595,0.543926111458119,0.6190034229346632
7,0.6873479256944048,0.8362518101044292,0.8399262200969437,0.8660352200659633,0.8876383090682245,0.7132301594085476,0.6543808845916009,0.6965785081958049,0.5417876348815449,0.6145361786510464
8,0.6896023209558504,0.828784406756067,0.8418037472982631,0.8620766409255672,0.8833135168329143,0.7098523286152296,0.6531562533200321,0.6944566230364506,0.5456851247269409,0.610937296371635
9,0.6911770890562228,0.8114220291100156,0.8372910775754003,0.8567451765555627,0.8699571210800228,0.7026792752222839,0.6464000999695412,0.6978552400048115,0.5454220319921714,0.6022194843857436
10,0.693251214340438,0.8066168830042206,0.8371891137330332,0.8509466831334511,0.8612965140260129,0.6976354702191914,0.6424000760302899,0.6914585785966343,0.5345586521749182,0.6091102882938257
11,0.6870121126640488,0.7940556330868758,0.8349738390823168,0.845773776730603,0.851559109955577,0.6870690154220545,0.6379518418999514,0.6915005229922326,0.5382692634792602,0.6000747055308906
12,0.6955465015184938,0.789694845965025,0.8342610699896764,0.8414922397573149,0.8453926819353041,0.6834014654913326,0.633601753975593,0.6879882583702592,0.5321117098356712,0.5948265892735489
13,0.6876292477976338,0.7826295444439701,0.8282560394002618,0.8237372578259516,0.8449928495148538,0.6820536297019866,0.6364325444306298,0.685337782164377,0.5348897167527646,0.5935967689395423
14,0.6870180284316212,0.7725435958102227,0.8171093868381678,0.8179667737058959,0.8356257511611358,0.6779903097590312,0.6300093983520446,0.6844086567903858,0.532582650920827,0.5935825227745967
15,0.6864558993468532,0.770902378825876,0.815005921359767,0.8057626890936983,0.8272490637582587,0.6745198604669327,0.6284795548655256,0.6776777877212443,0.5211959670302235,0.5994166062689177
16,0.6773074882756589,0.7567427611131193,0.8070143092757056,0.7952576121297772,0.8221200874625878,0.6672268658388809,0.6230886735938626,0.6770179909084098,0.5261373135565429,0.5905530561287005
17,0.6823493635301807,0.7527999004398791,0.8021963850656777,0.7907168605045389,0.8174915808661545,0.6623571768702434,0.620280157884159,0.6741096042125416,0.521995921608942,0.5931644915079275
18,0.6765694578865735,0.7489982620089936,0.7930430022731774,0.7751439415849712,0.8140781810844004,0.65716594922054,0.6255861747483371,0.6707189332491396,0.527310263989214,0.5940606536403741
19,0.6775020153468094,0.7464318995232917,0.7827851566099465,0.7672486796571968,0.8058389029817128,0.6494642418758709,0.6143839298847521,0.673489907989312,0.5250746874438998,0.5888291300590028
20,0.6771941333089302,0.7382614832107823,0.781574411396136,0.7603397053383074,0.7959018593836387,0.6495346835176163,0.6142011316525648,0.669564806666707,0.513981232161975,0.5786556856115095
21,0.6635476574917296,0.7223985145895118,0.7756686585034498,0.7470445180835967,0.7918599095128744,0.6447132893688702,0.6072186014597609,0.6715360452185701,0.5200566521455152,0.5713189915589567
22,0.6752226308810106,0.717586964994058,0.7704333106846115,0.7425575275472482,0.7863293409685608,0.6433639011630485,0.6072696354821057,0.6676491516965015,0.5145384380346663,0.5617992364333948
23,0.6676595531668098,0.7136050782369106,0.7580297737766479,0.7292949265778468,0.7834923005689339,0.6429380028717571,0.6079342060658215,0.6726127570054712,0.516361845762642,0.566131907763701
24,0.6715380520203491,0.711996640578965,0.746913806489296,0.7241765283128805,0.7755469719213315,0.6419419620460668,0.6014468454991244,0.6751986392779625,0.5182906474625312,0.5621356427540287
25,0.6711305208825464,0.709154775882062,0.7430778464894042,0.7136380839466324,0.7674392924247111,0.6422184554095539,0.605055785360936,0.669433477575771,0.50429243778143,0.5604872196729173
26,0.6577498095937477,0.6985948702095606,0.7381785684228741,0.7042841776465402,0.7620486230401078,0.638059979240285,0.6075972854181979,0.6742049304218091,0.5096154788144082,0.5587205003395032
27,0.6605805023222009,0.6967175110357084,0.733405910484797,0.6968337597045723,0.7582947926426148,0.6373730900494848,0.6019656283357664,0.6742761876511003,0.5099864134683643,0.5533357510303035
28,0.6494598289868341,0.6943343242186804,0.7199089628005597,0.6894896340857128,0.7554129425380554,0.6408978459080701,0.6078686298779133,0.6776672344825755,0.5171224506662273,0.5594727907028512
29,0.6511204304059042,0.6947291851066462,0.7145706134145585,0.6838599134415178,0.7501067036622102,0.6349273887865974,0.5977240787950053,0.676230434339446,0.5206847208096494,0.5607159141725166
30,0.647329430166007,0.6913097340567893,0.7117225390296029,0.6747040282105594,0.7413673132104015,0.6376559845997929,0.6025902137253972,0.673134306609753,0.5068059187878295,0.5565849737148291
