shift,Jeff,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Jason
0,0.4607714875459905,0.5978110310928695,0.5123228402868534,0.5518083165018492,0.6449113459380893,0.6053456797565102,0.7241704726190288,0.6866491884746959,0.8296186550775704,0.6579373076688627
1,0.46415376713109774,0.59538108213225,0.5107930182084739,0.5611998519804529,0.6499333987550234,0.6119409055879921,0.736613732015563,0.7064181360490054,0.8182495927682809,0.6535819672791321
2,0.45840440028070606,0.597738842595406,0.5048059329750607,0.5572628368719739,0.6456677497254333,0.6113076395739543,0.7493562678864567,0.7224478814000339,0.8026254686376835,0.6432000299254803
3,0.4701256211264928,0.608000486933032,0.5161384270793635,0.5552759262128162,0.6449060040618613,0.6122794634524995,0.7610655234542892,0.7408240319647048,0.7988080939060851,0.6398237565378264
4,0.45902340960844856,0.6075822165777136,0.5095657569207754,0.5627873626125468,0.6467970736154537,0.6087178693485316,0.7703448667239086,0.7520880703905559,0.7794605162084418,0.6285869166786293
5,0.46958570305740266,0.6072093144530424,0.5205496767643607,0.556554757116454,0.649324279359039,0.6082700341201572,0.7825222584219502,0.7566161448155633,0.7696939186085275,0.6142575942272664
6,0.46046601681933297,0.6057710686688631,0.5184317274067012,0.5587202166717716,0.6515631553536423,0.6128306768794418,0.7894623924797748,0.767792140152625,0.7537641726014275,0.6084459826470698
7,0.46621357995781326,0.6103462708761682,0.5136692973360739,0.559282456647078,0.6469193660572246,0.6147663335157343,0.798129875670476,0.7713126323369242,0.7347169876830673,0.5921658023612375
8,0.46613968775481773,0.6113136280776305,0.5253346981468198,0.5544991501067631,0.6474286338766,0.6149674679141461,0.8017149783415204,0.7877852851692877,0.7241839242799162,0.5750339980684606
9,0.4636476736794749,0.6094646416867397,0.5149723502460998,0.5636137491016373,0.6536997623188192,0.6129319826950013,0.80870445411934,0.7899334810684652,0.7069882281456787,0.563125852096468
10,0.46803613310297576,0.6120038183602867,0.5289349463146618,0.5652525387958435,0.6532203410396256,0.6104256111132446,0.8086914839403321,0.7869465624430154,0.6961102287517468,0.5471014404653955
11,0.46592315066647993,0.6040342577090789,0.5352282835320807,0.5670597274714468,0.6515067955658655,0.6156780372954906,0.8013608088553665,0.7830606357425121,0.682953211040856,0.5422689916109646
12,0.4772935459811803,0.6104924499569325,0.5365636875611508,0.5728167522890246,0.64771284005595,0.6192472141127764,0.8003017450675425,0.7870056035906927,0.6637590052318536,0.5245189266336567
13,0.4755550706318926,0.6161581932387914,0.5445616406370438,0.5710204785029815,0.6502124900202993,0.6231339379651757,0.7905833182304305,0.7839998368668992,0.6594643668785667,0.5151948160466172
14,0.4761492621616409,0.6115443247891585,0.5382558468739773,0.575553830920253,0.6541501233777619,0.622143943311178,0.779201866282343,0.7599519155504912,0.6403087931073868,0.5084420273128656
15,0.48287045818584884,0.6160204060822179,0.547629875999344,0.5841088656601597,0.6484793065874036,0.6227571668727468,0.7694598290019574,0.7549718394031473,0.6328795666628013,0.4904860546511205
16,0.47045203077703035,0.606370380282724,0.5533001905081625,0.5859043798737134,0.6573167593898965,0.6273824844349668,0.7596869215750086,0.7322299390081476,0.6297219598552459,0.4907821568065569
17,0.48401225096172107,0.6103167484150676,0.5475236385098062,0.5902397602110525,0.6531756724301756,0.6289701291244312,0.7551463668590621,0.7120971891501484,0.6134287297045797,0.48572576627359637
18,0.4738993562842798,0.6163123008608662,0.5536836351393668,0.5852971411506838,0.6584788024760053,0.6305438418966856,0.7307680318709244,0.7078696303573039,0.6139024567780462,0.48764071432705214
19,0.4795628568516437,0.6110027111948346,0.5405896625868336,0.5876429643921471,0.6599705274204579,0.6305974907370258,0.7200055991782446,0.6811922060442661,0.603249232463178,0.4814713980620724
20,0.4797516892958463,0.6113192518469674,0.5430191506553641,0.5879866018515879,0.6546657031916286,0.62981728917099,0.7082096290040161,0.6717798348252179,0.5952252298967408,0.4694239670981628
21,0.4725773155206422,0.6046219650379685,0.5497721133105113,0.5861883006003634,0.6606601130669477,0.6291841275457906,0.6924327587061195,0.6600323021508039,0.5918511319614459,0.46771425524480703
22,0.4776022777377681,0.6080465393422166,0.5481998199225262,0.5907487253746029,0.6598669671153952,0.6351952190329493,0.6906895623600331,0.646840554138095,0.581485435679678,0.4613382008428494
23,0.4769357643961983,0.6153441716959644,0.5474665616554262,0.5886815751055163,0.6602877183862694,0.6409835588523151,0.6675542119743985,0.6494206778254575,0.5762177306844303,0.45286121822801356
24,0.4884491845425819,0.6184610441085177,0.5430589277295919,0.5873762703184608,0.6659409531226442,0.6446443422523274,0.6525352449434354,0.6268614012530611,0.5654865091564145,0.45058392058111596
25,0.4919491738879547,0.6282815098746515,0.5415597301466712,0.5870481813475013,0.6645353419669602,0.6442675342563169,0.6404567815983484,0.6141832353768213,0.5605610913154069,0.4340188508052393
26,0.47954707803391394,0.6248033848933303,0.5474122686232562,0.5903413146604914,0.6691823214878796,0.6451826294708157,0.6298172533687414,0.6163579349637811,0.54996529872766,0.435504027818813
27,0.49194430826774316,0.62847066991308,0.5438633303186693,0.5867650186118425,0.6666170210189779,0.6467180167313131,0.6247043321603905,0.5911988523752993,0.5413354471385365,0.4304051062091019
28,0.49085068861109915,0.6294446370565503,0.5424418612297299,0.5934939217874375,0.6649451212917137,0.6465534414292442,0.6077001734551132,0.5929812879924012,0.5381425403279917,0.41992812325973583
29,0.5113609821402445,0.6235429040634937,0.54153077125766,0.594000041142476,0.6664205226654842,0.6448474062225722,0.60182236573793,0.5779485718548534,0.5316839837152735,0.4206010160137747
30,0.5129600432612502,0.6305486844987099,0.5507861119285251,0.5906678169277673,0.6644541660283985,0.644627640484698,0.5897071258777404,0.5716382476173082,0.5222004855664057,0.40265403319792714
