shift,Jeff,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Mack,Jason,Ray
0,0.5153072669105989,0.6369857278853914,0.5441790519944883,0.5720556268118091,0.6785434218518744,0.641556129345245,0.8926126211508081,0.7299492371403936,0.580521837492656,0.6866491884746959
1,0.49644195267651847,0.6322619732275543,0.5435365463113966,0.5786759411400507,0.6808698857297331,0.6460957785910105,0.883907741126207,0.7180087665961278,0.5777355995658913,0.670994675663894
2,0.5078350926195953,0.6388396195589885,0.5398087824011397,0.5782957709418945,0.6784914141660974,0.6491295556184062,0.8777712241369031,0.6967970459726707,0.5639694135614759,0.6544709415411656
3,0.5001591578190079,0.6374679484584559,0.5437834415616634,0.5712578719320238,0.6766452484184031,0.6514894679014265,0.8658439771413491,0.6906758649772896,0.5548022636356653,0.6419273573168328
4,0.5014754498149577,0.6377892435366794,0.5361632719240146,0.5727332156558529,0.6772423363182407,0.6526408967347468,0.847113395115414,0.6754543005743014,0.538531429229445,0.6351636235047764
5,0.5111955888277993,0.6435005044222786,0.5491672871263525,0.5834930124696811,0.6773315390338874,0.6466588332183101,0.8371714787124032,0.6614504276809767,0.5223649341247039,0.6185026185646101
6,0.49834311059647435,0.6408859153117619,0.5477489657656041,0.5864966543062995,0.6825071695526728,0.6516182740201846,0.8221477164865049,0.6541802779415764,0.5208905458147716,0.6080656208429223
7,0.5065819888971478,0.6507640189335224,0.5436122087481676,0.5884041331905183,0.6808971547560339,0.6516481202815365,0.8106618439944093,0.6388634723561166,0.5050111559486549,0.5859284871137342
8,0.5023152052425768,0.6526190922696145,0.5506922724069876,0.586948290057972,0.682006866317632,0.6532724230861243,0.7914003465667314,0.6317461840263114,0.49648220993709946,0.5803982860768836
9,0.5092972134929046,0.6552136764447479,0.5425764695904083,0.5838427970085511,0.6894093910769075,0.6520140877803111,0.7734472158230477,0.6133449121386181,0.4813551799981526,0.5743568776118767
10,0.5130343410012277,0.6610454556972191,0.5470255317444073,0.5849345683832985,0.6876448966248846,0.6455425525234173,0.7556936949426438,0.5988052752733587,0.4641137557928402,0.558396477200616
11,0.5071367001518692,0.6553420229098502,0.5514477086825054,0.5891239501767849,0.6881893542339765,0.6493726613375221,0.7381091158832378,0.5870412093405695,0.4638237402502614,0.5501968933396241
12,0.5114443931341208,0.665030659991674,0.549529189511239,0.5902804999310045,0.6904594754184143,0.6558064042596556,0.7276295011987389,0.5756467282829159,0.456784510668987,0.5266652250026108
13,0.5132495990164677,0.6682249053395268,0.5487640419178514,0.5900536312417162,0.6907380529381479,0.661739426576103,0.7077591199417403,0.5716191730340023,0.4438191097937555,0.5145022082783307
14,0.5253079421093231,0.672088334862511,0.5457251071694704,0.5958729343340974,0.6929228775178191,0.6620829842211435,0.6922502409889147,0.5577116490326355,0.43982791056017767,0.5079993467806156
15,0.5180048190069773,0.6745539616408454,0.5493074305362791,0.595783584333148,0.6927556681494516,0.6626357370106781,0.6787205680572967,0.552699544152755,0.424163167415979,0.5041833255543748
16,0.5138028471498152,0.671866236940285,0.5524457608914828,0.5944440706212484,0.6942245217068964,0.66652056072136,0.6637129908001127,0.5538244533604479,0.42970670004460676,0.5057324285992549
17,0.5159300394877145,0.6775625406893896,0.5552006003138136,0.6000785941341202,0.6957301036879366,0.6701720294020093,0.6557153678254097,0.5464543392559581,0.43216572451777935,0.4945587226863689
18,0.5077041682779935,0.6779175383000057,0.553982171556455,0.6021072929486749,0.6945292980724468,0.6771602226333184,0.6396954770108327,0.54838198918931,0.4264960722716563,0.49262009853308275
19,0.5208580368360755,0.6732963888995637,0.5598837229386634,0.6056571097080501,0.6926164698684254,0.6757537309304005,0.6237757685247556,0.5406468064484188,0.4276123193960647,0.49163700143820377
20,0.518432908418632,0.6744320902843226,0.5647295737603144,0.6113709506906445,0.6927291336259719,0.6760100279459803,0.611916504087384,0.5331167120185796,0.41212213613807436,0.4759058908619227
21,0.5171306896317549,0.6674640348492107,0.5663236802996419,0.6068025712776317,0.6920885434677433,0.6770025788998113,0.6030791187032323,0.5339478269366913,0.41862377837747833,0.47538730347314195
22,0.5251072108172271,0.6701468711274631,0.5691592816413726,0.6145448416383306,0.6920347053938225,0.6788688796579005,0.5983075867913743,0.5294519770830188,0.4151125365012506,0.46863692366287374
23,0.51448802901086,0.6699689391862218,0.5795506659430321,0.6181074244506184,0.6890625362977776,0.6779083162346177,0.5905328705703148,0.534691221575267,0.4063830321050328,0.47155301248484527
24,0.531209942984467,0.658801005779488,0.582208464446035,0.6202248184334036,0.6887941614781261,0.678007111759922,0.581036630236572,0.5296179885591339,0.4097403076776549,0.47144459017667983
25,0.5277157970028602,0.6595294513730459,0.5911703746529516,0.6248503477801866,0.686381654060324,0.676958143973468,0.568560866430645,0.5256656362163746,0.39077245942477346,0.4586812649116626
26,0.5261244002769044,0.6546288901430029,0.597778869607168,0.6205724187002621,0.6908081618894435,0.6751944397526597,0.5653615358225084,0.5314869811238428,0.39721871184695545,0.4565994822701247
27,0.5363226200261875,0.655325574702169,0.6002399011413726,0.62382294228189,0.6963120780936518,0.6756531554216769,0.5590454637713729,0.5333766425102751,0.39513016947866486,0.446720999847461
28,0.5367341890289754,0.6519363619009938,0.6040839978524484,0.6279612770875905,0.6906889147665919,0.6776642434916094,0.5554116959959348,0.5254482091230468,0.3950850070573127,0.44499249530859364
29,0.5544518465506931,0.6448138635670363,0.60460532827874,0.6289831215879614,0.6904862496597781,0.6797555359568868,0.5516576297630775,0.5235898339968572,0.39367688206752344,0.44971507265391447
30,0.5556603274011346,0.6509784378595866,0.6079921725541764,0.6319071303131903,0.6905349369822452,0.6756686934448551,0.5395863115213686,0.5197778058198534,0.37804117394234404,0.4393225756954383
