shift,Han,Perry,Tony,Mack,Jason,Ray
0,0.268258923454261,0.4991682079640466,0.4773924202594599,0.4966625863576096,0.43282939647681,0.5372392061243203
1,0.249149136353576,0.4931989181710017,0.48419604429486673,0.4719364279647743,0.43284263540518464,0.5149778021972676
2,0.2616640414470577,0.48838762658331875,0.4755541061150307,0.4928093169130775,0.44483930392320353,0.5211920590708435
3,0.2399108596079776,0.45766319261871957,0.4536275413622662,0.49170311770989017,0.43909592633559313,0.5114430380939747
4,0.2610829061958869,0.45978600719122087,0.47167565263116995,0.4947309425973644,0.4402294212846886,0.5296089964698792
5,0.22500430660685597,0.4545720287469144,0.46736610597608175,0.48862192317736963,0.398569053408889,0.5135135445948251
6,0.20049206273600886,0.4693451879556241,0.46278804580314964,0.4933500910034827,0.40427343212864586,0.5212811311818293
7,0.20881885931767774,0.44809381031318796,0.4595867965532247,0.488653105120885,0.4081897914705759,0.5284053020308344
8,0.21119850995896766,0.4428354731833427,0.45590094682389226,0.49386255485564695,0.41790364721482776,0.5292272016351884
9,0.2227854872359922,0.46192286272999067,0.4628149893933098,0.5034891804313341,0.4263095852220976,0.5073372602765667
10,0.22995582898363223,0.46943022259940703,0.485632003095062,0.5116282592945461,0.43757741139277406,0.5180672336923391
11,0.2306321439650502,0.4554431099546267,0.47225122267656205,0.5161105019150983,0.4307562572032434,0.5140014116672645
12,0.22434595690433104,0.45810743386415526,0.4685287068553634,0.5166381560375454,0.42274531058824916,0.529420083548149
13,0.24969163111902526,0.45585359785445034,0.4740260972297575,0.5248968573164291,0.42338560085735255,0.5108655362841805
14,0.2635946706924863,0.46375630727024353,0.45537510609280824,0.540346742406716,0.4380705923313663,0.5310874217776664
15,0.25805006871172653,0.4633176950325385,0.4706930036849001,0.5348658664935925,0.4432713400039949,0.5309301937612344
16,0.2623662590884418,0.49049883801031113,0.49427292818654667,0.5373267957969385,0.45542192731253217,0.540385084909451
17,0.25997863948026245,0.5131596604468827,0.4818737977552735,0.5210674364507115,0.46888868997268374,0.5270393855540012
18,0.25263967693911316,0.5115479700991168,0.4862967089887643,0.5316759306752838,0.4752932670775521,0.5483790428964709
19,0.2584863466682444,0.49734710392553794,0.4919651309829215,0.5135197647913343,0.44843450679768326,0.5295831292921487
20,0.2563440944591707,0.49165757223466794,0.486952693905198,0.5216312687987378,0.45136854160361534,0.5502141799616213
21,0.22257214899114386,0.48087101055829196,0.49385226637738444,0.5060819267399088,0.43447976368144214,0.5377638842387488
22,0.20949559570683293,0.49291360162954795,0.5104157684039681,0.5091118024426344,0.44528306220623926,0.5381600157392905
23,0.18345347049540228,0.4716100373089496,0.4925809873102741,0.4822133983401263,0.4373751344572819,0.5275768208842204
24,0.18643902739082888,0.48695709403638776,0.4804032975580045,0.4917801603649422,0.4440623820944004,0.5237667696325135
25,0.1758792520790322,0.4646511412878347,0.4949737799217393,0.49894038210862807,0.4318031863050702,0.49551488104515823
26,0.1692307462581626,0.4688627906330972,0.4947720815495149,0.49986883639483015,0.43328874505598575,0.5161795462613806
27,0.2029064275226522,0.44981502196196127,0.49285839543715904,0.4954173573116826,0.4213788724291102,0.50972041818171
28,0.2094883815571764,0.45475110687258535,0.5106691748960546,0.5062545942744907,0.40812659840548693,0.5329825367334371
29,0.18713961445250937,0.4768555008435889,0.5062235298054937,0.5151568841520312,0.40192344628165244,0.5104862114248229
30,0.18104861513178022,0.4655973063640813,0.5070302018425769,0.5259003499045933,0.4051167429421164,0.520688941358062
