shift,Jeff,Han,Perry,Tony,Jason,Ray
0,0.6711773242497148,0.5219614115664719,0.8054437482597174,0.877462783239275,0.7166748407344359,0.8784391003711678
1,0.6840327457738169,0.517284794316041,0.8125093392808278,0.877499147701617,0.717984098987562,0.8902234670565522
2,0.6840327457738169,0.517284794316041,0.8125093392808278,0.877499147701617,0.717984098987562,0.8902234670565522
3,0.6910419856395321,0.5091584170657146,0.7957320379500483,0.8704626202692856,0.7241660071061504,0.8832006750227808
4,0.6910419856395321,0.5091584170657146,0.7957320379500483,0.8704626202692856,0.7241660071061504,0.8832006750227808
5,0.685236922285827,0.4897045140353702,0.7952165133931688,0.8720820112541405,0.7324907005469694,0.8764548823594199
6,0.685236922285827,0.4897045140353702,0.7952165133931688,0.8720820112541405,0.7324907005469694,0.8764548823594199
7,0.6964158527169546,0.49845135069002133,0.7905475548457289,0.8745643175962772,0.7395524461813703,0.8667375454184791
8,0.6964158527169546,0.49845135069002133,0.7905475548457289,0.8745643175962772,0.7395524461813703,0.8667375454184791
9,0.6881845046861352,0.4903177685147438,0.8039016586267564,0.8683710574809265,0.7284020857065001,0.856875146187826
10,0.6881845046861352,0.4903177685147438,0.8039016586267564,0.8683710574809265,0.7284020857065001,0.856875146187826
11,0.6811182316248885,0.4937652065764507,0.81276651245137,0.8519808398257531,0.7141546320939742,0.8454103253284571
12,0.6811182316248885,0.4937652065764507,0.81276651245137,0.8519808398257531,0.7141546320939742,0.8454103253284571
13,0.6919509029019753,0.47572413578719563,0.7932326183527924,0.8310168458758139,0.71542801369272,0.8427733582872654
14,0.6919509029019753,0.47572413578719563,0.7932326183527924,0.8310168458758139,0.71542801369272,0.8427733582872654
15,0.6892024345607859,0.4700601860657887,0.7897706193928549,0.8322197219669267,0.7226919345576002,0.8320536591653245
16,0.6892024345607859,0.4700601860657887,0.7897706193928549,0.8322197219669267,0.7226919345576002,0.8320536591653245
17,0.7107662698000006,0.46550007921039355,0.7903522840585709,0.827535171693815,0.71660227078967,0.8243253347036756
18,0.7107662698000006,0.46550007921039355,0.7903522840585709,0.827535171693815,0.71660227078967,0.8243253347036756
19,0.7142578471180208,0.4738268280568328,0.7995419999624005,0.8414228995487358,0.7043233283223302,0.8197832128888888
20,0.7142578471180208,0.4738268280568328,0.7995419999624005,0.8414228995487358,0.7043233283223302,0.8197832128888888
21,0.716064880145477,0.468742146402487,0.8009214502342539,0.8379994112038471,0.7024621830627951,0.8161183178033493
22,0.716064880145477,0.468742146402487,0.8009214502342539,0.8379994112038471,0.7024621830627951,0.8161183178033493
23,0.7168948990163395,0.47241508874094307,0.7832417866182227,0.8296582313567327,0.7173769414590097,0.8172501276203447
24,0.7168948990163395,0.47241508874094307,0.7832417866182227,0.8296582313567327,0.7173769414590097,0.8172501276203447
25,0.7212760121642194,0.4652474777663589,0.7955210998809781,0.8252901067293952,0.7170776975028685,0.8204792126590247
26,0.7212760121642194,0.4652474777663589,0.7955210998809781,0.8252901067293952,0.7170776975028685,0.8204792126590247
27,0.7258354697853617,0.470526482217578,0.7926957461251165,0.8239820341014501,0.7143440096852,0.8083642342067454
28,0.7258354697853617,0.470526482217578,0.7926957461251165,0.8239820341014501,0.7143440096852,0.8083642342067454
29,0.7154137568992184,0.464474835805881,0.8025004464556603,0.8215099209729333,0.6998530820981057,0.7982192008473288
30,0.7154137568992184,0.464474835805881,0.8025004464556603,0.8215099209729333,0.6998530820981057,0.7982192008473288
