shift,Han,Perry,Tony,Mack,Jason,Ray
0,0.16718926305425985,0.32672224641286973,0.30129331011207405,0.3158502637825772,0.2760566755296786,0.3324603883598789
1,0.13523851661613098,0.30915336261908755,0.29436922332500615,0.2627729980750465,0.2760630096262047,0.3008657237967737
2,0.18206557988037617,0.32522874236833693,0.3064731226338445,0.307688057309692,0.303878546524152,0.33390668674046037
3,0.15766325281408197,0.2852883717049196,0.25290015010412636,0.3064360799879109,0.2753042544377362,0.31156109173527263
4,0.1888820896538002,0.30887458329087997,0.27287563702975337,0.34411618922439224,0.2908540621821769,0.36684458842432194
5,0.13912150068183243,0.2821134022265105,0.2576110183164895,0.31915593146489274,0.2499947696728977,0.32712681120110265
6,0.11035880599130421,0.30657209374144656,0.28469032363451235,0.3242307392563545,0.2592298733721345,0.3290219934581685
7,0.12430833818070522,0.2846995160752885,0.26878597949668936,0.28860826448857213,0.2530581425533408,0.31260863234372716
8,0.15537224131018673,0.3032231202400576,0.28710723801427895,0.3136930214768945,0.27645311871967115,0.33784789708768354
9,0.13453826133526195,0.2845372809852008,0.2557586328007023,0.31411723542605663,0.2740789337263065,0.31277612671706767
10,0.12690117133440365,0.3018436686402991,0.30645334273523434,0.345675137329563,0.2990540949462843,0.3180242281856231
11,0.11967124265662166,0.26576839786842266,0.27572961237332794,0.31940394864537885,0.26916972510306836,0.28773774261940105
12,0.11162790180371093,0.28882694433284783,0.2957589116834581,0.31930175800681265,0.25920454796897924,0.3210765617491441
13,0.13716909480747186,0.2723308208965791,0.30150213599878767,0.2970635390802797,0.23248687017792763,0.29229206840872196
14,0.15723794363903557,0.2981236382730781,0.29357464076909356,0.33105081580966766,0.282284884543932,0.33869400204845507
15,0.1519490457915095,0.29193694777393314,0.2524430053266429,0.32487389615153295,0.2943469458103182,0.3162082867772258
16,0.16850049491660324,0.3267617685597435,0.29597719278795004,0.354177337340118,0.2925167196944525,0.35990421121993377
17,0.16472615629553863,0.3429057196534067,0.26499080383042883,0.33086002057889974,0.2819199068810668,0.3396129980582532
18,0.15554799222619436,0.35778739294041706,0.2939923863643805,0.36799019268712074,0.29810058414836765,0.35885288641936314
19,0.14919163666984672,0.31552167969509565,0.297629166054833,0.32141539189923307,0.27769502798916257,0.3234407139235174
20,0.16539865628281936,0.3173933803054766,0.33191141004167957,0.33801787010754214,0.31908306781981216,0.3694850806625891
21,0.13878461362823782,0.296483243523925,0.2981246892359724,0.3049708905514267,0.28527133047501574,0.35862467588044666
22,0.1254385949862166,0.33054829543862935,0.32552983629571924,0.3367370907831375,0.2859240060088849,0.37802228970828333
23,0.08313283380892753,0.29777113705630176,0.2903839775683571,0.3038403250288731,0.2514834551387495,0.3245042448129416
24,0.08253872966306636,0.3242751131317839,0.3108833537485711,0.33029975523752225,0.3052402563053732,0.31495259133604653
25,0.08511772836372475,0.3210407277668565,0.290912871198444,0.3023304208673486,0.2906229219724654,0.26321040240023985
26,0.10221121800428506,0.3195497371247582,0.31404889354849036,0.33556919085905584,0.28220860420313176,0.3170966029879977
27,0.13019771686380646,0.27850707113815754,0.2751592705175609,0.3157431871531309,0.2602841514687301,0.31428856828721574
28,0.12924725685259397,0.32095993591105076,0.30287000420972776,0.33686900519343066,0.2630068470517483,0.3576832140943459
29,0.10364436895021356,0.31360573080732584,0.27793195862579945,0.3095847851622697,0.2398195548586759,0.3174735472647633
30,0.10329157722415755,0.30739536138666834,0.3054254603069717,0.3517324037990668,0.2532577979122189,0.33044750350421714
